### placeholder log file - keep empty in the repository
2025 11 05, 19:32:31 | INFO | data red successfully
2025 11 05, 19:33:26 | INFO | data red successfully
2025 11 05, 19:33:48 | INFO | data red successfully
2025 11 05, 19:35:29 | INFO | data red successfully
2025 11 05, 19:35:59 | INFO | data red successfully
2025 11 05, 19:36:49 | INFO | data red successfully
2025 11 05, 19:37:27 | INFO | data red successfully
2025 11 05, 19:38:27 | INFO | data red successfully
2025 11 05, 19:39:27 | INFO | data red successfully
2025 11 05, 19:40:01 | INFO | data red successfully
2025 11 05, 19:41:35 | INFO | data red successfully
2025 11 05, 20:14:51 | ERROR | found error is cannot access local variable 'csv_path' where it is not associated with a value
2025 11 05, 20:15:21 | ERROR | found error is cannot access local variable 'csv_path' where it is not associated with a value
2025 11 05, 20:15:55 | ERROR | found error is cannot access local variable 'csv_path' where it is not associated with a value
2025 11 05, 20:16:28 | ERROR | found error is cannot access local variable 'csv_path' where it is not associated with a value
2025 11 05, 20:16:50 | ERROR | found error is cannot access local variable 'csv_path' where it is not associated with a value
2025 11 06, 12:34:38 | INFO | main fun is called........
2025 11 06, 12:34:45 | INFO | csv loaded successfully for generate the summary.............
2025 11 06, 12:34:53 | INFO | data printed in the console successfully............
2025 11 06, 12:35:20 | INFO | main fun is called........
2025 11 06, 12:35:28 | INFO | csv loaded successfully for to export the csv.............
2025 11 06, 12:35:28 | INFO | data exported successfully.........
2025 11 06, 12:36:02 | INFO | main fun is called........
2025 11 06, 12:36:03 | INFO | user enter the exit
2025 11 06, 12:36:11 | INFO | main fun is called........
2025 11 06, 12:42:08 | INFO | main fun is called........
2025 11 06, 12:42:49 | INFO | main fun is called........
2025 11 06, 12:42:53 | INFO | csv loaded successfully for generate the summary.............
2025 11 06, 12:42:55 | INFO | data printed in the console successfully............
2025 11 06, 12:43:00 | INFO | main fun is called........
2025 11 06, 12:53:57 | INFO | main fun is called........
2025 11 06, 12:53:59 | ERROR | invalid input {user_input}
2025 11 06, 12:56:16 | INFO | main fun is called........
2025 11 06, 12:56:18 | ERROR | invalid input not a num
2025 11 06, 12:56:35 | INFO | main fun is called........
2025 11 06, 12:56:38 | ERROR | invalid input not a num
2025 11 06, 12:58:25 | INFO | main fun is called........
2025 11 06, 12:58:27 | ERROR | invalid input not a num
2025 11 06, 12:58:35 | INFO | main fun is called........
